epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1394,1.3713,5.13629,1.16184,0,0,0,0,1.30132,5.17673,1.07352,4.8e-05,4.8e-05,4.8e-05
2,80.7885,1.24423,4.66537,1.0552,0,0,0,0,1.23687,4.88657,1.01447,9.65351e-05,9.65351e-05,9.65351e-05
3,132.528,1.2482,4.10715,1.07286,0.04228,0.28324,0.05844,0.0379,1.30779,4.31396,1.07631,0.000143658,0.000143658,0.000143658
4,189.995,1.23075,3.62171,1.07965,0.62813,0.04867,0.05562,0.0354,1.29085,3.68539,1.11007,0.000183854,0.000183854,0.000183854
5,250.969,1.1877,3.331,1.06286,0.69897,0.057,0.05605,0.03502,1.28585,3.31153,1.16178,0.000181138,0.000181138,0.000181138
6,313.679,1.13786,3.05024,1.05503,0.64347,0.07039,0.06402,0.04136,1.27693,3.01228,1.17093,0.000178423,0.000178423,0.000178423
7,379.056,1.17415,2.86859,1.07529,0.65418,0.0624,0.06622,0.04397,1.28758,2.86452,1.14516,0.000175707,0.000175707,0.000175707
8,452.393,1.18284,2.73858,1.07613,0.55859,0.05349,0.06081,0.04048,1.30511,2.73425,1.16514,0.000172992,0.000172992,0.000172992
9,557.981,1.10439,2.55651,1.05588,0.52209,0.06299,0.05723,0.03775,1.27772,2.49325,1.16229,0.000170277,0.000170277,0.000170277
10,630.984,1.10982,2.41922,1.05139,0.5289,0.08328,0.07992,0.05455,1.27289,2.34009,1.14886,0.000167561,0.000167561,0.000167561
11,702.807,1.08133,2.33617,1.03762,0.50043,0.07865,0.08236,0.05457,1.27244,2.34775,1.15315,0.000164846,0.000164846,0.000164846
12,770.911,1.08289,2.26103,1.05243,0.61109,0.07738,0.08243,0.0546,1.22601,2.10791,1.14008,0.00016213,0.00016213,0.00016213
13,846.657,1.04455,2.06701,1.03196,0.65223,0.07011,0.07323,0.04745,1.25401,2.05821,1.15738,0.000159415,0.000159415,0.000159415
14,923.43,1.04543,2.09016,1.02993,0.58432,0.04877,0.06563,0.04363,1.262,2.06343,1.14913,0.000156699,0.000156699,0.000156699
15,1017.51,1.06412,2.00186,1.04031,0.6848,0.04281,0.06103,0.03945,1.21401,1.96384,1.13561,0.000153984,0.000153984,0.000153984
16,1110.66,1.04459,1.86824,1.03315,0.75041,0.06746,0.08226,0.05357,1.21335,1.91033,1.14183,0.000151269,0.000151269,0.000151269
17,1197.95,1.04652,1.90252,1.02555,0.6725,0.04144,0.04656,0.03271,1.21003,1.90628,1.13146,0.000148553,0.000148553,0.000148553
18,1294.55,1.03646,1.81036,1.02751,0.76293,0.07321,0.0816,0.05315,1.18957,1.86173,1.12905,0.000145838,0.000145838,0.000145838
19,1373.54,1.00596,1.77972,1.01094,0.62577,0.06527,0.07817,0.05328,1.17238,1.77054,1.11708,0.000143122,0.000143122,0.000143122
20,1472.67,1.02157,1.79956,0.99629,0.70628,0.06733,0.08865,0.06052,1.18113,1.7889,1.11723,0.000140407,0.000140407,0.000140407
21,1558.59,1.00524,1.70262,1.01342,0.53166,0.09676,0.14283,0.10563,1.18453,1.71569,1.11841,0.000137691,0.000137691,0.000137691
22,1644.53,0.98111,1.68839,1.00058,0.47734,0.11341,0.15926,0.1196,1.20133,1.67811,1.12514,0.000134976,0.000134976,0.000134976
23,1728.97,0.98463,1.6519,1.01445,0.53835,0.12668,0.1377,0.09639,1.18479,1.64478,1.12177,0.000132261,0.000132261,0.000132261
24,1826.82,0.9759,1.65018,1.00166,0.6013,0.12481,0.13247,0.09574,1.17976,1.63783,1.11134,0.000129545,0.000129545,0.000129545
25,1917.64,0.99813,1.61894,1.0392,0.60762,0.1409,0.16299,0.1175,1.16854,1.6091,1.11732,0.00012683,0.00012683,0.00012683
26,2004.42,0.98136,1.58927,1.01248,0.51518,0.14845,0.16741,0.12321,1.17339,1.60546,1.10593,0.000124114,0.000124114,0.000124114
27,2096.79,0.96596,1.60523,0.99925,0.42248,0.15317,0.17302,0.12984,1.16679,1.59883,1.11163,0.000121399,0.000121399,0.000121399
28,2198.91,0.94455,1.55303,1.00057,0.4906,0.0827,0.10903,0.07284,1.15133,1.56893,1.10422,0.000118683,0.000118683,0.000118683
29,2296.52,0.95145,1.5125,0.98672,0.55622,0.08219,0.10423,0.06942,1.15183,1.56994,1.10844,0.000115968,0.000115968,0.000115968
30,2396.06,0.94065,1.5066,0.99512,0.40263,0.17421,0.17349,0.12915,1.13778,1.55692,1.10011,0.000113253,0.000113253,0.000113253
31,2504.72,0.9349,1.42212,0.9919,0.38259,0.18353,0.18508,0.13881,1.13517,1.51674,1.09646,0.000110537,0.000110537,0.000110537
32,2591.84,0.94586,1.47479,1.00097,0.58271,0.09534,0.11851,0.08002,1.13957,1.50541,1.10406,0.000107822,0.000107822,0.000107822
33,2681.4,0.93737,1.46744,1.00547,0.50992,0.10674,0.11496,0.07643,1.12526,1.46446,1.09607,0.000105106,0.000105106,0.000105106
34,2797.25,0.95776,1.53372,1.02941,0.54069,0.12859,0.14763,0.11105,1.15076,1.50954,1.10961,0.000102391,0.000102391,0.000102391
35,2888.13,0.92286,1.44287,0.99239,0.37611,0.08157,0.09865,0.06762,1.14247,1.48188,1.10581,9.96754e-05,9.96754e-05,9.96754e-05
36,2983.19,0.89923,1.38139,0.97768,0.38831,0.13094,0.15918,0.11874,1.13319,1.47267,1.09646,9.696e-05,9.696e-05,9.696e-05
37,3095.05,0.92133,1.42799,0.99363,0.42957,0.0804,0.11525,0.08341,1.16098,1.49192,1.11447,9.42446e-05,9.42446e-05,9.42446e-05
38,3203.28,0.89962,1.37414,0.97858,0.63243,0.09054,0.13433,0.09363,1.14048,1.45529,1.10592,9.15291e-05,9.15291e-05,9.15291e-05
39,3322.6,0.9361,1.4199,1.01212,0.45393,0.08887,0.11612,0.08769,1.15102,1.44537,1.10403,8.88137e-05,8.88137e-05,8.88137e-05
40,3425.44,0.92371,1.35901,0.99861,0.55295,0.07062,0.12181,0.08339,1.15423,1.46129,1.10677,8.60983e-05,8.60983e-05,8.60983e-05
41,3561.91,0.89705,1.34059,0.98552,0.5649,0.10163,0.13957,0.09093,1.1406,1.4371,1.10576,8.33829e-05,8.33829e-05,8.33829e-05
42,3659.69,0.91746,1.38929,0.98879,0.59414,0.15814,0.17629,0.12929,1.14258,1.433,1.11603,8.06674e-05,8.06674e-05,8.06674e-05
43,3760.06,0.89191,1.31836,0.97026,0.65065,0.15007,0.19981,0.14514,1.13012,1.43127,1.10484,7.7952e-05,7.7952e-05,7.7952e-05
44,3857.9,0.95908,1.36216,1.00315,0.59024,0.08071,0.11463,0.07765,1.11317,1.43567,1.09072,7.52366e-05,7.52366e-05,7.52366e-05
45,3957.46,0.8838,1.28808,0.9878,0.56544,0.09686,0.12053,0.07662,1.12889,1.44309,1.09613,7.25211e-05,7.25211e-05,7.25211e-05
46,4065.19,0.90568,1.35987,0.98154,0.53531,0.16845,0.17113,0.11608,1.12354,1.41615,1.09104,6.98057e-05,6.98057e-05,6.98057e-05
47,4164.99,0.87717,1.28709,0.97119,0.67788,0.07977,0.113,0.07607,1.11164,1.4087,1.0884,6.70903e-05,6.70903e-05,6.70903e-05
48,4327.21,0.89899,1.30065,0.97775,0.54758,0.12521,0.14823,0.09439,1.12288,1.40811,1.09607,6.43749e-05,6.43749e-05,6.43749e-05
49,4466.01,0.86359,1.25278,0.96762,0.66646,0.10655,0.1297,0.08559,1.13234,1.40796,1.09452,6.16594e-05,6.16594e-05,6.16594e-05
50,4608.93,0.90654,1.29577,0.97233,0.60455,0.09206,0.12088,0.08019,1.12824,1.42814,1.09958,5.8944e-05,5.8944e-05,5.8944e-05
51,4732.1,0.89185,1.28525,0.97079,0.60628,0.15832,0.17445,0.12547,1.1194,1.41049,1.09297,5.62286e-05,5.62286e-05,5.62286e-05
52,4859.41,0.89012,1.27656,0.97796,0.60606,0.08032,0.12509,0.08641,1.1214,1.44112,1.09401,5.35131e-05,5.35131e-05,5.35131e-05
53,5015.38,0.88906,1.2432,0.968,0.73189,0.04272,0.05688,0.04159,1.10223,1.40949,1.0873,5.07977e-05,5.07977e-05,5.07977e-05
54,5154.83,0.88225,1.27687,0.9749,0.45262,0.09068,0.09703,0.06608,1.10721,1.41027,1.08924,4.80823e-05,4.80823e-05,4.80823e-05
55,5268.18,0.89489,1.24285,0.98128,0.51878,0.15617,0.15773,0.11333,1.1178,1.41746,1.09525,4.53669e-05,4.53669e-05,4.53669e-05
56,5395.01,0.8448,1.19174,0.9599,0.57204,0.06916,0.07582,0.05095,1.10431,1.39868,1.09095,4.26514e-05,4.26514e-05,4.26514e-05
57,5573.94,0.90055,1.25237,0.9753,0.56686,0.05751,0.06015,0.04333,1.10138,1.40737,1.09019,3.9936e-05,3.9936e-05,3.9936e-05
58,5736.33,0.89396,1.22763,0.9863,0.50264,0.13226,0.13457,0.1034,1.1017,1.4138,1.08963,3.72206e-05,3.72206e-05,3.72206e-05
59,5923.3,0.85547,1.24937,0.96367,0.56491,0.05508,0.0565,0.03972,1.1193,1.39642,1.09382,3.45051e-05,3.45051e-05,3.45051e-05
60,6109.67,0.87377,1.27029,0.97677,0.56706,0.13495,0.13556,0.10325,1.10002,1.39036,1.09469,3.17897e-05,3.17897e-05,3.17897e-05
61,6359.31,0.8303,1.16026,0.9708,0.49709,0.09751,0.1155,0.08213,1.09134,1.38917,1.09263,2.90743e-05,2.90743e-05,2.90743e-05
62,6535,0.8268,1.13485,0.95509,0.69008,0.14184,0.16588,0.12233,1.10653,1.38457,1.09747,2.63589e-05,2.63589e-05,2.63589e-05
63,6717.31,0.80474,1.15459,0.9511,0.51741,0.15979,0.1642,0.1205,1.10766,1.38575,1.09296,2.36434e-05,2.36434e-05,2.36434e-05
64,7095.13,0.80356,1.11576,0.95246,0.5963,0.05381,0.05354,0.03809,1.10556,1.38921,1.08936,2.0928e-05,2.0928e-05,2.0928e-05
65,7391.49,0.81746,1.09791,0.96055,0.46496,0.07243,0.07604,0.05347,1.10238,1.3787,1.08976,1.82126e-05,1.82126e-05,1.82126e-05
66,7581.28,0.79775,1.1184,0.94526,0.60517,0.0661,0.0667,0.04699,1.09529,1.37876,1.0883,1.54971e-05,1.54971e-05,1.54971e-05
67,7712.7,0.80356,1.12561,0.9568,0.61526,0.06522,0.07088,0.04745,1.09661,1.38339,1.08674,1.27817e-05,1.27817e-05,1.27817e-05
68,7852.22,0.80948,1.11561,0.95055,0.69125,0.14817,0.16352,0.12213,1.10019,1.38084,1.08694,1.00663e-05,1.00663e-05,1.00663e-05
69,8016.9,0.79771,1.11723,0.95065,0.66548,0.08966,0.10615,0.07247,1.09854,1.37314,1.08804,7.35086e-06,7.35086e-06,7.35086e-06
70,8216.13,0.8138,1.15369,0.95767,0.60065,0.09105,0.1105,0.07429,1.09591,1.37124,1.08695,4.63543e-06,4.63543e-06,4.63543e-06
